pregunta;respuesta
He ido allí dos veces esta semana.;I've gone there twice this week.
Él me ha llamado varias veces hoy.;He's called me several times today.
Hemos llegado a una conclusión.;We've reached a conclusion.
Hemos decidido cancelar el proyecto.;We've decided to cancel the project.
No han hecho nada.;They haven't done anything.
He probado muchas diferentes profesiones.;I've tried many different professions.
Él ha perdido la voz.;He's lost his voice.
Ella no ha venido por aquí últimamente.;She hasn't come here lately.
He empezado a estudiar alemán.;I've begun to study German.
He tenido muchos problemas con él.;I've had a lot of problems with him.
¿Le has visto?;Have you seen him?
Sí, le vi hace cinco minutos.;Yes, I saw him five minutes ago.
¿Qué hacía cuando le viste?;What was he doing when you saw him?
Recuérdame que le llame.;Remind me to call him.
Me recuerdas a un antiguo amigo mío.;You remind me of an old friend of mine.
¿Has estado con él últimamente?;Have you been with him lately?
No le he visto desde Navidad.;I haven't seen him since Christmas.
¿Cómo se llama?;What's his name?
No creo que le conozcas.;I don't think you know him.
¿Qué has hecho hoy?;What have you done today?
¿Has hecho algo importante este mes?;Have you done anything important this month?
¿Cuántas películas has visto este año?;How many movies have you seen this year?
Hasta ahora ninguna.;So far none.
Veamos una.;Let's see one.
Nunca he hecho algo así.;I've never done anything like that.
Siempre hay una primera vez.;There's always a first time.
No he tenido muchas oportunidades.;I haven't had many chances.
Ahora vas a tener una.;Now you're going to have one.
Nunca he visto a una mujer como ella.;I've never seen a woman like her.
Él ha perdido mucho peso.;He's lost a lot of weight.
Él ha hecho muchas cosas por mí.;He's done a lot of things for me.
Me ha ayudado en muchas ocasiones.;He's helped me on a lot of occasions.
Siempre ha estado cerca cuando le he necesitado.;He's always been near when I've needed him.
Nunca ha pedido nada a cambio.;He's never asked for anything in return.
Siempre ha sido honesto y leal.;He's always been honest and loyal.
Siempre ha sido amable y servicial.;He's always been kind and helpful.
Me gustaría conocerle.;I'd like to meet him.
Estará aquí dentro de unos minutos.;He'll be here in a few minutes.
Debe de ser un hombre muy bondadoso.;He must be a very kind man.
Debe de tener muchos amigos.;He must have a lot of friends.
Debe de ser muy generoso.;He must be very generous.
¿Ha hecho alguna vez algo malo?;Has he ever done anything bad?
Nunca ha hecho nada malo.;He's never done anything bad.
¿Ha levantado alguna vez la voz?;Has he ever raised his voice?
Nunca ha hecho eso.;He's never done that.
¿Ha perdido alguna vez la paciencia?;Has he ever lost his patience?
Eso nunca le ha pasado.;That's never happened to him.
¿Te ha llamado alguna vez idiota?;Has he ever called you an idiot?
¿Tú qué crees?;What do you think?
Creo que debe de ser un tipo extraño.;I think he must be a strange guy.
No han llegado todavía.;They haven't arrived yet.
¿Por qué no han llegado todavía?;Why haven't they arrived yet?
Porque están todavía en camino.;Because they're still on the way.
¿Has comido ya?;Have you eaten yet?
No he comido todavía.;I haven't eaten yet.
¿Por qué no has comido todavía?;Why haven't you eaten yet?
Porque todavía estoy estudiando.;Because I'm still studying.
¿Todavía sales con ella?;Do you still go out with her?
Todavía salimos juntos.;We still go out together.
¿Le has pedido ya que se case contigo?;Have you asked her to marry you yet?
No, todavía no.;No, not yet.
¿Tienes intención de hacerlo?;Are you planning to do it?
No lo sé todavía.;I don't know yet.
¿Has conocido a sus padres?;Have you met her parents?
Sí, ya les he conocido.;Yes, I've already met them.
¿Cómo son?;What are they like?
Me recuerdan a tus padres.;They remind me of your parents.
Debe de ser buena gente.;They must be good people.
Se está haciendo tarde.;It's getting late.
¿Por qué no te has acostado aún?;Why haven't you gone to bed yet?
Todavía no tengo sueño.;I'm not sleepy yet.
¿Has puesto ya el despertador?;Have you set your alarm clock yet?
